,n_cells,mt,ERCC,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,imp_sumup,imp_sumup_norm,MoransI
ZFHX4,5944,False,False,5944,0.17390674,85.65498600250989,7206.0,21.174656,0.28965127,0.0809985827732202
RPS3,29057,False,False,29057,1.5090501,29.874987933198184,62529.0,21.172909,0.28962737,0.0467954836796463
HNRNPAB,28235,False,False,28235,1.428999,31.858770151559035,59212.0,21.144424,0.2892377,0.0492569948092879
TMEM132C,3260,False,False,3260,0.09004247,92.13244521671976,3731.0,21.135208,0.28911167,0.0682717409810955
HSP90AB1,34141,False,False,34141,2.2525823,17.605463847861756,93338.0,21.12934,0.28903136,0.0353719307926639
ACTA1,2310,False,False,2310,0.08429868,94.4251375615407,3493.0,21.109398,0.2887586,0.2756304683705806
SERBP1,24122,False,False,24122,1.0454435,41.784921324452164,43319.0,21.108883,0.28875154,0.0498066416253884
YBX3,12052,False,False,12052,0.41135728,70.91418090549281,17045.0,21.083477,0.288404,0.1066300504236535
ANP32B,17097,False,False,17097,0.6197027,58.738777874312184,25678.0,21.056217,0.28803113,0.0598804673601333
ATRX,15105,False,False,15105,0.5095569,63.546191717347234,21114.0,21.049513,0.28793943,0.0237007706673002
TUBB5,30493,False,False,30493,1.6330968,26.409402451974128,67669.0,21.034332,0.28773174,0.0443595990915981
ACTA2,2819,False,False,2819,0.09028381,93.19673713678927,3741.0,21.02266,0.28757206,0.2065900099457822
ATP5B,18646,False,False,18646,0.6843325,55.00048267207259,28356.0,21.004385,0.2873221,0.0465783092942763
EEF2,26226,False,False,26226,1.179023,36.70721112076455,48854.0,20.994972,0.28719333,0.0258829089608199
NUDT4,10312,False,False,10312,0.32191813,75.11342793705957,13339.0,20.980808,0.28699958,0.054948840085699
BASP1,17895,False,False,17895,0.66275704,56.81291630466261,27462.0,20.94445,0.28650224,0.0922425288723256
HSPA5,20795,False,False,20795,0.79568493,49.81417125205135,32970.0,20.940296,0.28644544,0.0225662896095204
SLC25A4,20824,False,False,20824,0.79665023,49.744183801525246,33010.0,20.939962,0.28644085,0.0309280785326781
GPX1,12792,False,False,12792,0.63411045,69.12829423689546,26275.0,20.928795,0.28628808,0.3072285889423739
PKM,13329,False,False,13329,0.4266821,67.8323197219809,17680.0,20.915043,0.2861,0.0334568442370192
H1F0,13407,False,False,13407,0.43358433,67.64407761366927,17966.0,20.91265,0.28606725,0.0442611941523946
COX4I1,19008,False,False,19008,0.70967275,54.12684622067767,29406.0,20.866634,0.2854378,0.0454759229402387
CDH11,10899,False,False,10899,0.33943912,73.69678540399653,14065.0,20.851189,0.2852265,0.0796310410740861
CALM1,16990,False,False,16990,0.58046144,58.99700743314992,24052.0,20.80293,0.2845664,0.0176128678916978
TSHZ2,4208,False,False,4208,0.121464424,89.84457959262477,5033.0,20.780964,0.2842659,0.0584448145177137
EEF1B2,20580,False,False,20580,0.7844628,50.33304373008978,32505.0,20.737062,0.28366533,0.0364302324981663
SNED1,2003,False,False,2003,0.06156482,95.16603919297229,2551.0,20.73101,0.28358257,0.1784670192120565
RPS26,15241,False,False,15241,0.50292015,63.2179747079834,20839.0,20.711414,0.2833145,0.0239146216834974
COL5A2,8290,False,False,8290,0.24478714,79.99324259098368,10143.0,20.707432,0.28326005,0.0611921206371477
SUB1,13080,False,False,13080,0.416184,68.43324645236027,17245.0,20.69085,0.28303322,0.0253771815307342
CSRP2,5779,False,False,5779,0.16196062,86.05319046239984,6711.0,20.669958,0.28274745,0.0524409698639645
PTPRD,7711,False,False,7711,0.22994497,81.39057824114296,9528.0,20.645092,0.28240728,0.0648097173994187
FLRT3,2355,False,False,2355,0.06496766,94.31653634520707,2692.0,20.597666,0.28175855,0.0912664272811851
CDK4,19923,False,False,19923,0.74061203,51.91862148856068,30688.0,20.582588,0.28155228,0.026447015044263
MT-CO1,11531,True,False,11531,0.3599527,72.17154165459986,14915.0,20.531801,0.28085756,0.0245942215782001
NASP,16744,False,False,16744,0.5916353,59.590694082440386,24515.0,20.521338,0.28071442,0.041565353396796
HMGN1,17962,False,False,17962,0.637103,56.65122116034367,26399.0,20.518412,0.2806744,0.0351855222607964
LIMCH1,3159,False,False,3159,0.08586736,92.37619461337967,3558.0,20.49867,0.2804044,0.0526496391191335
FOXP2,2583,False,False,2583,0.073679894,93.76629018245004,3053.0,20.496744,0.280378,0.1068473350257372
KRT17,856,False,False,856,0.03301477,97.93416352929819,1368.0,20.4906,0.28029394,0.1969528861542215
PRRX2,3655,False,False,3655,0.10264022,91.17916787334684,4253.0,20.47593,0.28009328,0.0853088412566622
MT-RNR1,26057,True,False,26057,1.5378174,37.11506902210638,63721.0,20.469187,0.28000104,0.0151613795414228
RPL8,28622,False,False,28622,1.4895984,30.924799691089877,61723.0,20.442566,0.27963692,0.0583208456505079
MKI67,11706,False,False,11706,0.3920504,71.74920359108022,16245.0,20.43178,0.27948934,0.0405768523519043
