,n_cells,mt,ERCC,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,MoransI_Sc,MoransI_My,MoransI_Ept,MoransI_PEL,MoransI_LM,MoransI_Ml,MoransI_IO
1110002L01RIK,517,False,False,517,0.01279081,98.75229269234482,530.0,-0.0019645245474344624,-0.006610083610875272,0.006091465670979609,-0.004633155084992545,0.00415363271884815,0.012920112226386853,-0.006605608086084801
1110004E09RIK,974,False,False,974,0.024568008,97.6493870064678,1018.0,-0.002685890185760558,0.006994685918710677,-0.007122271626329955,-0.007487557665336375,0.0015879375211042522,0.02337813489587007,-0.012120737469429812
1110004F10RIK,3616,False,False,3616,0.09325224,91.27328892750266,3864.0,0.0007182660106858131,0.015228858599186459,0.0001365385101563164,-0.014427940549903023,-0.013744366088851021,-0.03947071524529888,0.07831792366985393
1110007C09RIK,685,False,False,685,0.016821122,98.34684815136596,697.0,-0.00246265115860004,-0.0034898899313102476,-0.002161106306810338,-0.01898594882755507,0.00024207329609080643,-0.0065534856273217245,-0.02629064691100436
1110008F13RIK,1946,False,False,1946,0.04949802,95.30360073366155,2051.0,0.003070556006674465,0.00864378157892777,-0.0019357018961256663,-0.012933999835452566,-0.0012674617855739784,-0.027422118102526864,-0.00637558314222618
1110008L16RIK,565,False,False,565,0.014045757,98.63645139492229,582.0,0.0019393170115681805,-5.735407435015186e-07,0.009464100067916814,-0.00557895489387024,-0.014594632603879875,-0.019881496084688543,-0.03333273150579602
1110008P14RIK,436,False,False,436,0.010691186,98.94777488174535,443.0,-0.0007228451284478415,-0.0012108980145082993,-0.002869067616868613,-0.005363354788422597,-2.0,-0.01959894080819896,-0.025898474848881938
1110012L19RIK,683,False,False,683,0.017158993,98.3516748720919,711.0,-0.003927557444419883,0.012838663691811799,-0.004682965596917279,-0.007816153443504713,-0.003416978056255426,0.036397890599033096,-0.03962859611224325
1110017D15RIK,73,False,False,73,0.0018100203,99.82382469350324,75.0,0.007873198865426017,-0.004026852014210425,-2.0,-2.0,-2.0,-2.0,-0.015387898092010407
1110018N20RIK,9,False,False,9,0.00021720244,99.97827975673329,9.0,-0.0001857289247430428,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1110019D14RIK,113,False,False,113,0.0028477653,99.72729027898446,118.0,-0.0014912322340231553,-0.002938807393628496,-0.006433831271725969,-2.0,-2.0,-2.0,-0.0008501510113694814
1110020A21RIK,77,False,False,77,0.0018824211,99.81417125205135,78.0,-0.0017742550737022543,-0.0015730565467223301,-0.0012079900092505297,-2.0,-2.0,-2.0,-2.0
1110025M09RIK,110,False,False,110,0.0027029635,99.73453036007336,112.0,-0.0019251722867276836,-0.002001652536496825,-0.0010798477536375448,-0.00155829787747023,-0.00274496048726542,-0.007642867555055933,-2.0
1110028F11RIK,37,False,False,37,0.00091707695,99.91070566657014,38.0,-0.0002735791854553121,-7.210721416977212e-05,-2.0,-2.0,-2.0,-2.0,-2.0
1110032A03RIK,713,False,False,713,0.017858867,98.27927406120281,740.0,-0.0025338403284529383,0.016035300957136102,9.09306226731418e-06,-0.0013860401082758434,-0.017558373870622312,0.017793029271787567,0.0009230720395726337
1110032F04RIK,60,False,False,60,0.0014480163,99.85519837822183,60.0,-0.0017531546510954588,-2.0,-0.0008867092555608298,-2.0,-2.0,-2.0,-2.0
1110034G24RIK,290,False,False,290,0.007143547,99.30012549473888,296.0,0.0072367389628848824,0.0011425144940283365,-0.006347922976880533,-0.0008045182311275674,-0.005359496997108491,0.0016082587491788101,-2.0
1110035H17RIK,12,False,False,12,0.00028960325,99.97103967564436,12.0,-0.0006804655643995502,-2.0,-0.0026867047706573195,-2.0,-0.009057542022320673,-2.0,-2.0
1110036E04RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,-0.00035152110317508895,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1110037F02RIK,2534,False,False,2534,0.065257266,93.88454484023553,2704.0,0.0010049505061245762,0.0034364503956163237,-0.0099733437183226,-0.010988819354277283,-0.019785849630505347,-0.02169471023562798,0.02948988080847786
1110038B12RIK,2914,False,False,2914,0.07423496,92.96746790230718,3076.0,3.875013397380634e-05,0.004378125276388644,0.0035388621167745456,-0.019965589577230845,0.015735321108189225,-0.020465533099818918,-0.003645322996388034
1110038F14RIK,2484,False,False,2484,0.06390578,94.00521285838401,2648.0,0.0024257534558284944,-0.0065860291708842965,-0.011604235806319946,0.000640176978868909,-0.006670560205700504,-0.005620451569142619,-0.03567890923177366
1110046J04RIK,90,False,False,90,0.0021961578,99.78279756733276,91.0,-3.76058933741925e-05,-0.0007382610437515697,-0.003452187988850184,-0.00021693453259826278,-2.0,-2.0,-2.0
1110051M20RIK,1087,False,False,1087,0.02731924,97.37667728545226,1132.0,0.0016866428215510409,-0.004849944551343207,-0.005235123311969892,-0.0013840958569875557,-0.019631525410470377,-0.02434611164263135,-0.0056473313338245585
1110059E24RIK,1239,False,False,1239,0.03101168,97.00984651028092,1285.0,0.008144867890217742,-0.006731934820556743,0.0019719877506506416,-0.00838132819381277,0.059113089088243476,0.02189546820288089,-0.033892181731431374
1110059G10RIK,1209,False,False,1209,0.030191138,97.08224732117,1251.0,0.003533211500533203,0.005611868576050542,0.018511706196047722,-0.0020270937441558908,-0.006300658457374067,-0.010784413475944577,0.005493552729354615
1110065P20RIK,2239,False,False,2239,0.057220776,94.59648614731152,2371.0,0.0008116255608649643,0.00269797941057054,-0.012410170631980834,-0.012408891301654177,-0.016443849447246837,-0.03148966591625155,-0.01385853275259402
1190002F15RIK,918,False,False,918,0.022878656,97.7845351867941,948.0,-0.0033812076637671695,0.007966210232394976,-0.012291560220666731,0.0028360680924318913,-2.0,-0.029812610542782197,0.0015715633152486347
1190002N15RIK,1229,False,False,1229,0.03139782,97.03398011391062,1301.0,0.022731362091614624,0.006568580565742132,-0.0076682438339805165,-0.007122762596152175,-0.005190548573034912,-0.016807779327468745,0.004018184624811452
1190005I06RIK,219,False,False,219,0.0053335265,99.47147408050971,221.0,-0.0030949233771329185,-0.004284166225286185,-0.006117460344674151,-2.0,-0.016668902557525362,-2.0,-2.0
1190007I07RIK,119,False,False,119,0.0028960325,99.71281011680664,120.0,-0.0011515896800991,-0.0009724469114914395,-0.002751429626249171,-2.0,-2.0,-0.020015341442792944,-2.0
1200007C13RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-0.00034612483720818316,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1200014J11RIK,1886,False,False,1886,0.047905203,95.44840235543971,1985.0,-0.0008824347195432227,0.0018367112923796261,0.0026118212328562792,-0.01809681214889346,0.012205613805585817,-0.019910931149102865,-0.004437922330326667
1300002E11RIK,1032,False,False,1032,0.026064292,97.50941210541558,1080.0,-0.0003204138152859427,0.00010252817437805775,-0.010638972014307913,0.01200963630582636,-0.010285213940932176,0.004875729939547739,-0.00668016948088835
1300017J02RIK,303,False,False,303,0.0076020854,99.26875181002028,315.0,-6.957205953099789e-05,-0.0023569316775306263,-2.0,-0.0049125789759401845,-2.0,-2.0,-2.0
1500002C15RIK,74,False,False,74,0.0018582875,99.82141133314026,77.0,-0.0027219457722831904,0.005864256737822401,-0.0009443133980171111,-2.0,-0.004825045205919493,-2.0,-2.0
1500002F19RIK,9,False,False,9,0.00024133603,99.97827975673329,10.0,-0.0003983088110963631,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1500004A13RIK,70,False,False,70,0.0017134858,99.83106477459214,71.0,-0.0016209330526224357,-0.0006918134155971149,0.010184062519754023,-2.0,-2.0,-2.0,-2.0
1500009C09RIK,19,False,False,19,0.00045853847,99.95414615310358,19.0,-4.084159368498518e-05,-2.0,-2.0,-2.0,-2.0,-2.0,-0.0023046164810868303
