,n_cells,mt,ERCC,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,MoransI
1700054O19RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-7.380179758454033e-05
1700055D18RIK,25,False,False,25,0.0006033401,99.93966599092576,25.0,-0.0003122188658031979
1700056E22RIK,54,False,False,54,0.0013032146,99.86967854039965,54.0,-0.00018990941135524575
1700056N10RIK,19,False,False,19,0.00045853847,99.95414615310358,19.0,-7.633347651470345e-06
1700057H15RIK,11,False,False,11,0.00026546963,99.97345303600733,11.0,0.0006203575910576376
1700057H21RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-6.998281946499229e-05
1700058P15RIK,7,False,False,7,0.00016893522,99.98310647745922,7.0,-0.00017485207525242668
1700060O08RIK,17,False,False,17,0.00041027126,99.95897287382952,17.0,-0.0003910222937956143
1700061G19RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,-0.00014455941392931646
1700061H18RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-9.51265584142616e-05
1700063D05RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-7.250112876729032e-05
1700063H04RIK,8,False,False,8,0.00019306883,99.98069311709624,8.0,-0.00019590827072044675
1700064H15RIK,31,False,False,31,0.0007722753,99.92518582874796,32.0,8.457757524181872e-05
1700064J06RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-6.848361250875681e-05
1700064M15RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-9.625041106511563e-05
1700065D16RIK,12,False,False,12,0.00028960325,99.97103967564436,12.0,0.0006703870402546344
1700066B17RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,-0.00011985941659698714
1700066B19RIK,31,False,False,31,0.0007481417,99.92518582874796,31.0,0.00036613744868823695
1700066M21RIK,297,False,False,297,0.0072883484,99.2832319721981,302.0,-0.000828524338354973
1700066N21RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-6.748985541389594e-05
1700067K01RIK,25,False,False,25,0.0006516073,99.93966599092576,27.0,0.00011545975319765365
1700069B07RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-7.29318776598806e-05
1700069L16RIK,7,False,False,7,0.00019306883,99.98310647745922,8.0,0.0010657498240377898
1700080G11RIK,8,False,False,8,0.00021720244,99.98069311709624,9.0,0.01086588062704785
1700084C06RIK,96,False,False,96,0.0024133604,99.76831740515493,100.0,1.2964641316220349e-05
1700084E18RIK,46,False,False,46,0.0011101458,99.88898542330341,46.0,-9.48002751056668e-05
1700084F23RIK,39,False,False,39,0.00094121054,99.9058789458442,39.0,-0.00018669294486441384
1700086L19RIK,9,False,False,9,0.00021720244,99.97827975673329,9.0,-0.000217701799510161
1700086O06RIK,246,False,False,246,0.006081668,99.40631335070952,252.0,-0.0005341090689927689
1700086P04RIK,51,False,False,51,0.0012549474,99.87691862148857,52.0,0.00010495334127340686
1700088E04RIK,224,False,False,224,0.0056231297,99.45940727869485,233.0,0.0012629501355208084
1700092K14RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,-0.00011966802842191985
1700092M07RIK,25,False,False,25,0.0006033401,99.93966599092576,25.0,8.822096931276438e-05
1700093J21RIK,448,False,False,448,0.011125592,98.91881455738971,461.0,0.002038124771711454
1700093K21RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,-0.0001433739326313621
1700095J07RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,-0.0001214252735327047
1700096K18RIK,151,False,False,151,0.0036924414,99.63558258519161,153.0,-0.0004150609611979172
1700097N02RIK,7,False,False,7,0.00016893522,99.98310647745922,7.0,-0.00017254900707851795
1700101E01RIK,167,False,False,167,0.004078579,99.59696881938412,169.0,0.00010637514968652898
1700101I11RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,-0.00013657651377657168
1700102P08RIK,93,False,False,93,0.0022685588,99.77555748624386,94.0,3.2963203627769346e-05
1700105P06RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-9.60660114876999e-05
1700106J16RIK,31,False,False,31,0.0007722753,99.92518582874796,32.0,0.0040165239504206494
1700108F19RIK,14,False,False,14,0.00033787044,99.96621295491843,14.0,0.0007887378769420553
1700109G14RIK,8,False,False,8,0.00019306883,99.98069311709624,8.0,0.0019268018576685554
1700109H08RIK,143,False,False,143,0.0034993726,99.65488946809538,145.0,-0.0005516239810384113
1700109K24RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,-0.00011169986861439339
1700110C19RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,-0.00012011573567484493
1700110K17RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,-0.00014516155776171568
1700111E14RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,-0.00014222335121446826
1700111N16RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-7.003703290469764e-05
1700112D23RIK,34,False,False,34,0.0008205425,99.91794574765905,34.0,0.0005157753299528377
1700112E06RIK,195,False,False,195,0.004850854,99.52939472922097,201.0,0.0014221770304037146
1700112J05RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-7.310621393586834e-05
1700112J16RIK,21,False,False,21,0.00050680566,99.94931943237765,21.0,-0.00019370527419320066
1700113A16RIK,128,False,False,128,0.003161502,99.69108987353992,131.0,-0.00016716318894292696
1700113H08RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,-0.00014579578162389565
1700120C14RIK,73,False,False,73,0.0018341539,99.82382469350324,76.0,0.00014158580279226664
1700120G11RIK,25,False,False,25,0.0006033401,99.93966599092576,25.0,0.00032164246968920064
1700120K04RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-9.814483168112433e-05
1700122E12RIK,5,False,False,5,0.00014480163,99.98793319818515,6.0,-0.00011862870908378464
1700123I01RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-7.181770296684887e-05
1700123M08RIK,61,False,False,61,0.0014962835,99.85278501785886,62.0,7.516118934008947e-05
1700123O12RIK,17,False,False,17,0.00041027126,99.95897287382952,17.0,0.0005810525311329913
1700123O20RIK,3015,False,False,3015,0.077975675,92.72371850564727,3231.0,0.0026723116384119077
1700124L16RIK,24,False,False,24,0.0005792065,99.94207935128874,24.0,0.0011852886602139537
1700125H20RIK,8,False,False,8,0.00024133603,99.98069311709624,10.0,-0.00018886475183380288
1700126H18RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-9.601622340767479e-05
1700128A07RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-7.145346783922559e-05
1810006J02RIK,28,False,False,28,0.0006757409,99.93242590983685,28.0,0.00032319714825713135
1810007D17RIK,7,False,False,7,0.00016893522,99.98310647745922,7.0,-0.00016677370047267728
1810008I18RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,-0.00011771295234725709
1810009A15RIK,51,False,False,51,0.0012308138,99.87691862148857,51.0,-0.0002833710739107014
1810010H24RIK,34,False,False,34,0.00086880976,99.91794574765905,36.0,0.0008282667122271032
1810011H11RIK,34,False,False,34,0.00086880976,99.91794574765905,36.0,0.000623671775234974
1810011O10RIK,458,False,False,458,0.011294526,98.89468095376002,468.0,0.0033485484564470076
1810012K16RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,-9.687581808538693e-05
1810013D15RIK,14,False,False,14,0.00033787044,99.96621295491843,14.0,-0.000334023316103834
1810013L24RIK,2365,False,False,2365,0.060116805,94.29240274157738,2491.0,0.0005273243891716285
1810014B01RIK,584,False,False,584,0.014480162,98.59059754802587,600.0,0.001243976824914038
1810019D21RIK,23,False,False,23,0.0005550729,99.9444927116517,23.0,0.0007871434863874231
1810019N24RIK,27,False,False,27,0.0006516073,99.93483927019983,27.0,-0.0006211719215954359
1810020O05RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,-0.00011421664409791494
1810021B22RIK,69,False,False,69,0.0016652186,99.83347813495512,69.0,-4.286260819610863e-05
1810022K09RIK,2101,False,False,2101,0.05256299,94.9295298774013,2178.0,0.00270518225899549
1810024B03RIK,212,False,False,212,0.0052611255,99.48836760305049,218.0,0.00013287444955473881
1810026B05RIK,887,False,False,887,0.022106381,97.85934935804615,916.0,0.0001534358270240709
1810026J23RIK,1391,False,False,1391,0.03509026,96.64301573510956,1454.0,0.0030181770319581405
1810030O07RIK,1070,False,False,1070,0.026933102,97.41770441162274,1116.0,-0.00019800361994871553
1810032O08RIK,719,False,False,719,0.017762333,98.26479389902501,736.0,0.0013730416024092743
1810034E14RIK,20,False,False,20,0.00048267207,99.95173279274061,20.0,0.000254417515731176
