gene,pearson_r,p,percent_cell,imp_sumup_norm
GM12111,0.0230153936201619,0.2318841223650261,0.0848139456922561,0.033442132
PPP1R1C,0.023012664191941,0.2319395007767878,0.0023466309084813,0.0042212186
MILL2,0.0230116276589779,0.2319605338483786,0.0197787462286288,0.00994191
PDE12,0.0229942275260375,0.2323138151204256,0.1927589674824002,0.14297652
IQCC,0.022990135964604,0.2323969429850361,0.1850486087831042,0.44692644
LIPG,0.0229632172516233,0.2329443739279802,0.0221253771371102,0.009248826
GM5148,0.0229521275605655,0.2331701644992433,0.0988937311431444,0.09668011
GM34006,0.0229507347795552,0.2331985330415833,0.1632584646329198,0.318241
ZFP85,0.0229336820680562,0.2335460656471593,0.0509554140127388,0.020265527
POLI,0.0228929453516066,0.2343777609533479,0.0945357023131076,0.08079914
JCHAIN,0.0228576438626614,0.2351001828797161,0.0043580288300368,0.005514616
PDPN,0.0228258540689916,0.2357520872420516,0.1052631578947368,0.24152902
GM16068,0.0228013403906581,0.2362556544992234,0.0023466309084813,0.005112463
FAM76B,0.0227759957197362,0.2367770911283664,0.1374455246396245,0.11845175
GLI2,0.0227726390126477,0.2368462123332794,0.0479383171304056,0.035831563
ARHGEF10L,0.0227628035060639,0.2370488268432062,0.1984579282601408,0.65105337
LIN54,0.022750086093948,0.2373109909567923,0.1002346630908481,0.099269226
A730085K08RIK,0.0227497555847911,0.2373178069929378,0.0046932618169627,0.0055107875
GM14377,0.0227359289651379,0.2376030749732111,0.0020113979215554,0.004182197
HTR3A,0.0227251244049042,0.2378261608787466,0.0422393563526651,0.06591346
PLAU,0.0227092446154417,0.2381543052440221,0.0053637277908146,0.005415854
ECM2,0.0226872791883828,0.2386087313066821,0.0442507542742205,0.023204269
MYT1,0.0226740833528368,0.2388820238353351,0.0740864901106268,0.019214576
PECAM1,0.0226611665872904,0.239149750384777,0.1062688568555145,0.11825788
TTC26,0.0226426457682938,0.2395340014763832,0.0895072075092189,0.15210108
TARBP2,0.0226382366119074,0.2396255422493101,0.2453905464297686,0.3860824
MYCL,0.0226357942706107,0.2396762595669779,0.1273885350318471,0.24370334
DECR2,0.0226317450766413,0.2397603612275495,0.1971169963124371,0.41911182
KDM6B,0.0226254323772478,0.2398915173154119,0.2008045591686222,0.48118553
ATAD2,0.0226132392138685,0.2401449922212047,0.0824673147837747,0.042143963
SMIM10L2A,0.0226107789614763,0.2401961595030509,0.1914180355346966,0.31639868
AC156023.3,0.022586949704733,0.2406921476297802,0.0526315789473684,0.0809426
ZFP296,0.0225791517119756,0.2408546134840814,0.0281595709017767,0.0100239655
THBD,0.0225776022709265,0.2408869042210889,0.092859537378478,0.2774947
GPR89,0.0225669221466775,0.2411095635618863,0.2638283607106939,0.38556805
GM35835,0.0225643262527092,0.2411637046600364,0.0241367750586657,0.013127753
PAN2,0.0225548614881716,0.2413611783832196,0.1444854173650687,0.18308936
ZFP282,0.0225435947392126,0.2415963971654021,0.1840429098223265,0.22836384
BCAM,0.0225292913327638,0.2418952452573593,0.1595709017767348,0.8739578
ZFP65,0.0225069051242138,0.2423634929767086,0.1002346630908481,0.27214792
1700026J12RIK,0.0225023200661994,0.2424594762555096,0.0060341937646664,0.00510425
CRYBA1,0.0224815499119982,0.2428946118396928,0.0016761649346295,0.0037926033
GM48952,0.0224579191193346,0.243390344833607,0.0033523298692591,0.0056167548
RPS6KA6,0.0224574195866666,0.2434008318251137,0.0482735501173315,0.07310339
ARMC2,0.0224554275740346,0.2434426545073674,0.0992289641300704,0.10360524
KBTBD3,0.0224375879817461,0.243817425109714,0.2276231981226952,0.2474415
COQ3,0.0224343487541924,0.2438855175835815,0.2172309755279919,0.9501856
ADM,0.0224315184915572,0.2439450240481551,0.026818638954073,0.011013653
