gene,pearson_r,p,percent_cell,imp_sumup_norm
SGCZ,0.022998762343800487,0.01716483005084123,0.021867662451554498,0.073854856
RRAGA,0.02299769886239924,0.01716997066698228,0.1673031768932643,0.25976557
LIX1,0.022997141881360934,0.01717266351962981,0.033947212085207505,0.136951
DNAJC14,0.022986070058977445,0.01722626970921506,0.032589323601799204,0.03547862
CTHRC1,0.022982075431441425,0.017245646402073298,0.012192707007270362,0.023936026
NINJ1,0.022976650705307033,0.017271990660726468,0.017624260940903563,0.036687255
MBD3,0.022975307507405368,0.017278519121142772,0.10288834196158307,0.24287131
PRKD3,0.02297451212917339,0.017282385986468814,0.011146001301309797,0.0150812045
MSANTD2,0.022964805459194618,0.017329637777288413,0.011202579988118477,0.005859036
HNRNPA2B1,0.02294450798760169,0.01742881154290921,0.35500297038105744,0.30102515
INTS1,0.022926339102590405,0.017518006684423434,0.026846586890718265,0.035356257
IDH3A,0.02292120059202283,0.017543305262970047,0.12206851678972531,0.19191301
CPNE5,0.02291875765223541,0.017555343886822016,0.012107838977057342,0.015429538
TMEM9,0.022899093961745814,0.017652509073080518,0.058502362160174265,0.10307772
PCBP3,0.022891613578574187,0.017689595827210244,0.03445642026648561,0.020518022
REV1,0.022889112679885797,0.01770201017378567,0.02034003790772016,0.02728065
FOS,0.02285132929101503,0.017890496246247042,0.031033409714560527,0.06407782
USP5,0.022839151846893356,0.017951618071924535,0.10877252538968571,0.13765424
ID3,0.022836437295024107,0.01796526803213833,0.0520241025205805,0.274869
FAIM,0.02282617961269765,0.018016930280794034,0.0506662140371722,0.106143154
LYRM9,0.022824923856679127,0.018023263756764427,0.025799881184757702,0.049278524
MAPK3,0.022824412437157215,0.018025843688500867,0.09321338651729894,0.30968165
TOLLIP,0.022817628279498972,0.01806009799309513,0.06913915528020595,0.15517312
BCL6,0.022809392087885964,0.018101760448864163,0.02127358624006337,0.034733716
MTCH2,0.02279910647118144,0.018153907999301815,0.09177063000367762,0.20453386
HNRNPA0,0.02279479209943034,0.01817582077078159,0.10136071741774873,0.19032368
PFKFB2,0.02279254871291061,0.01818722411989029,0.009901270191518855,0.0070808707
METAP1D,0.022791011134789166,0.01819504339436836,0.02534725169028827,0.028859306
RTN4RL1,0.022784468093107572,0.018228350616446277,0.05522079832527087,0.150835
BTBD3,0.02277515444283707,0.018275853626698046,0.0585306515035786,0.16802144
STX16,0.022773402662328614,0.018284800443333405,0.03770969475798467,0.033798337
PIGK,0.022772762631742664,0.018288070208682176,0.06215168745933407,0.09970087
TRIM3,0.022772685067445165,0.018288466501175826,0.11858892755099154,0.18127689
HERC3,0.0227672016817013,0.018316501340678033,0.07377860759851763,0.16964203
PRRC2B,0.022749623070943213,0.01840662903572724,0.09199694475091233,0.2014669
AGMO,0.02273788553491132,0.018467024702990494,0.006280234235763388,0.00809851
CHD1L,0.022732038395718825,0.01849717590344115,0.010665082463436023,0.0071229422
TMEM25,0.022717271031799664,0.01857351674340718,0.048572802625251064,0.11106413
WDR13,0.02270945966787376,0.01861400945380457,0.07055362245042293,0.14490017
GM17586,0.02270102221258651,0.018657834453112705,0.00817562024385414,0.0053956294
MPV17L,0.022699128837613252,0.018667681225751548,0.0589549916546437,0.109264016
L2HGDH,0.022681057693709747,0.01876189182280199,0.009137457919601686,0.006495416
PTPMT1,0.02267675979678789,0.018784359236589228,0.07737135421086877,0.19108863
A230050P20RIK,0.02267388448008078,0.018799403193555983,0.09957848878327534,0.1764644
TNR,0.022662889360549655,0.018857028034365883,0.05790828594868313,0.11004285
PRPF31,0.02266243991672691,0.018859386828129925,0.04919516818014654,0.11591882
SMAD9,0.022655862437641276,0.018893936615331307,0.006195366205550369,0.005649437
PURB,0.022643586135686955,0.0189585689042655,0.3082972644204928,0.36662245
CCT4,0.022641085623578923,0.018971757274396938,0.07233585108489632,0.090851925
NDEL1,0.022639720789288137,0.018978959159042425,0.0736088715380916,0.14544946
MAN2A2,0.022636686064175293,0.01899498120076992,0.09075221364112139,0.19065115
DLX1AS,0.02263469018463506,0.019005525030049337,0.013861778268126396,0.0756675
LRGUK,0.02262960140136291,0.01903243120314977,0.0033947212085207504,0.0040031113
FAM171A2,0.02262914538082636,0.019034843967793844,0.04019915697756655,0.07778811
SOD1,0.022622819011488108,0.019068343828729063,0.378454836063255,0.34579113
SEC22B,0.0226216722192198,0.01907442192306312,0.04806359444397296,0.09749981
FAM65B,0.02261986956660476,0.019083979555092008,0.02189595179495884,0.025958722
PRMT5,0.022617515785790895,0.019096465560431583,0.04718662479843843,0.05787604
TMEM170B,0.022594287702659102,0.01922006605799308,0.017115052759625448,0.015501004
MARK1,0.022586557888388314,0.019261352439150694,0.05193923449036748,0.15618712
KIT,0.022586251546216265,0.019262990265206954,0.009165747263006025,0.0067221397
PTRH2,0.022584799272238325,0.019270756350734747,0.030043282695408638,0.04029218
ZFP869,0.02257308082235614,0.019333521337304396,0.001301309796599621,0.003008832
CALR,0.022556461875525124,0.01942284003753952,0.16475713598687375,0.31114915
BC030336,0.02255643249375689,0.01942299826884754,0.05691815892953125,0.0658904
MGST1,0.022551125770682842,0.019451595341738244,0.011824945543013946,0.03431781
TMEM38A,0.02254849202754993,0.01946580180983748,0.12464284703952021,0.16788378
FBXL5,0.022537043078382012,0.0195276630785068,0.06449970296189425,0.12735415
RFTN2,0.022524523128587104,0.01959550769847597,0.029788678604769584,0.09655285
HHATL,0.02251966922420872,0.01962186594628706,0.017284788820051487,0.07267193
HID1,0.02251860553431096,0.01962764625580014,0.09567455939347648,0.16648456
RPL35,0.022513671596271344,0.01965447773946873,0.03312682112648165,0.043149486
VRK2,0.02250536752467346,0.019699708830310643,0.0031684064612860336,0.0042281835
ENDOD1,0.022498826971427126,0.019735398249368482,0.04744122888907749,0.15205249
YWHAE,0.022497993748614643,0.01973994889466741,0.452601205126029,0.25677907
VPS16,0.02248860543246023,0.019791286522808427,0.04302809131800051,0.068707846
CCDC33,0.022488054267291956,0.019794304049049576,0.004384848227672635,0.003448003
ZZEF1,0.022464229196169496,0.0199251263837774,0.02984525729157826,0.032561336
IFNGR2,0.022463290248929974,0.019930297519347977,0.03547483662904184,0.056594677
ZMYND19,0.022456108360188527,0.01996988964265315,0.020792667402189595,0.017463502
COX7A2,0.02244874382316863,0.020010559932999415,0.22453251860024329,0.36226806
