,n_cells,mt,ERCC,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,imp_sumup,imp_sumup_norm,imp_sumup_Sc,imp_sumup_norm_Sc,imp_sumup_My,imp_sumup_norm_My,imp_sumup_Ept,imp_sumup_norm_Ept
1700003E16RIK,10,False,False,10,0.00024133603,99.97586639637031,10.0,0.0023160633,0.0025533822,0.0022219887,0.00014231015,0.005641675,0.00051827286,0.008617387,0.00013042837
1700003F12RIK,30,False,False,30,0.0007481417,99.92759918911092,31.0,0.0024219297,0.0026700965,0.0024701871,0.00015820631,0.0016329625,0.00015001222,0.008283001,0.00012536728
1700003G18RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,0.0024987222,0.0027547576,0.007905704,0.000506331,0.001614704,0.00014833489,0.00880106,0.00013320833
1700003M02RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,0.0023039186,0.0025399933,0.0019320996,0.0001237438,0.001594201,0.00014645138,0.008803731,0.00013324877
1700003P14RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,0.0021984708,0.0024237405,0.0019265306,0.00012338714,0.001555775,0.00014292137,0.008646253,0.00013086526
1700006J14RIK,86,False,False,86,0.0020996234,99.79245100878464,87.0,0.0031204985,0.0034402453,0.0028881964,0.00018497826,0.01193148,0.0010960863,0.008773585,0.0001327925
1700007B14RIK,31,False,False,31,0.0007481417,99.92518582874796,31.0,0.0025291129,0.0027882624,0.006768478,0.00043349594,0.002593733,0.00023827345,0.09418114,0.0014254777
1700007G11RIK,30,False,False,30,0.0007722753,99.92759918911092,32.0,0.0028916486,0.0031879458,0.0024953997,0.0001598211,0.017117318,0.0015724836,0.008485966,0.00012843923
1700007K13RIK,27,False,False,27,0.0006516073,99.93483927019983,27.0,0.0033232705,0.0036637944,0.0025637024,0.00016419563,0.0015189103,0.00013953481,1.3519075,0.020461781
1700007L15RIK,64,False,False,64,0.0015928178,99.84554493676995,66.0,0.0039559538,0.004361307,0.0023823075,0.00015257797,0.031118622,0.0028587144,0.00873095,0.0001321472
1700008F21RIK,7,False,False,7,0.00016893522,99.98310647745922,7.0,0.0027825485,0.0030676667,0.0029172655,0.00018684004,0.0016568814,0.00015220954,0.00879665,0.0001331416
1700008J07RIK,277,False,False,277,0.006757409,99.33149917945747,280.0,0.0058451677,0.006444102,0.1398231,0.008955151,0.0027081633,0.00024878563,0.15275541,0.0023120278
1700008O03RIK,26,False,False,26,0.0006274737,99.9372526305628,26.0,0.005715653,0.006301316,0.0024074991,0.00015419138,0.002189488,0.00020113747,0.008800773,0.000133204
1700009N14RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,0.0021829384,0.0024066165,0.0019126243,0.00012249651,0.001639833,0.00015064338,0.008863207,0.00013414897
1700010I14RIK,123,False,False,123,0.0030891013,99.70315667535476,128.0,0.0038787413,0.0042761825,0.0037785934,0.00024200488,0.0062371045,0.00057297206,0.008445795,0.00012783123
1700010K23RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,0.0022615856,0.0024933224,0.001816143,0.000116317235,0.001610746,0.0001479713,0.008834428,0.00013371339
1700010K24RIK,110,False,False,110,0.00267883,99.73453036007336,111.0,0.004587781,0.005057875,0.0038945554,0.00024943182,0.0053708446,0.00049339305,0.014588534,0.00022080459
1700011I03RIK,7,False,False,7,0.00016893522,99.98310647745922,7.0,0.0023478246,0.002588398,0.0024200962,0.0001549982,0.0016419751,0.00015084016,0.008740051,0.00013228494
1700011L22RIK,12,False,False,12,0.00028960325,99.97103967564436,12.0,0.0033925911,0.0037402182,0.0020278194,0.00012987433,0.0016039242,0.00014734462,0.008723446,0.00013203362
1700012B07RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,0.0022624875,0.0024943168,0.0018992351,0.000121638965,0.0016603993,0.0001525327,0.008676981,0.00013133034
1700012C14RIK,13,False,False,13,0.00031373685,99.9686263152814,13.0,0.002284278,0.00251834,0.0022984194,0.00014720524,0.0016312596,0.00014985578,0.008775671,0.00013282408
1700012I11RIK,9,False,False,9,0.00021720244,99.97827975673329,9.0,0.0023143622,0.002551507,0.0024317503,0.0001557446,0.001611809,0.00014806895,0.008577476,0.0001298243
1700012L04RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,0.0022936703,0.002528695,0.0018664788,0.000119541044,0.0015463019,0.00014205114,0.008596967,0.0001301193
1700013F07RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,0.0022881322,0.0025225892,0.002339471,0.00014983444,0.0015995799,0.00014694553,0.008913922,0.00013491657
1700013N06RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,0.0022665472,0.0024987923,0.0018577928,0.000118984746,0.0016094426,0.00014785156,0.008808716,0.00013332423
1700014D04RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,0.0021631673,0.0023848198,0.0024856683,0.00015919784,0.0015955032,0.00014657101,0.008711555,0.00013185364
1700015O11RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,0.0022640692,0.0024960604,0.0018592424,0.00011907759,0.0015859706,0.0001456953,0.008833452,0.00013369862
1700016D06RIK,79,False,False,79,0.0019065547,99.80934453132542,79.0,0.0028770776,0.003171882,0.059522413,0.0038121894,0.0016222141,0.00014902481,0.0085193105,0.00012894394
1700016H13RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,0.0023200123,0.0025577361,0.0018842055,0.00012067639,0.0016016503,0.00014713571,0.032346047,0.0004895733
1700016K19RIK,45,False,False,45,0.0010860121,99.89139878366638,45.0,0.0039916863,0.004400701,0.0028862397,0.00018485295,0.0016375463,0.0001504333,2.1675956,0.032807622
1700016L21RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,0.0023979892,0.0026437026,0.0022294333,0.00014278694,0.0015890095,0.00014597448,0.008811742,0.00013337002
1700016P03RIK,44,False,False,44,0.0011342794,99.89381214402935,47.0,0.0033948503,0.0037427088,0.0025192457,0.00016134835,0.002691945,0.0002472957,0.00877481,0.00013281104
1700017B05RIK,497,False,False,497,0.012163336,98.80055989960421,504.0,0.026860591,0.029612904,0.27927426,0.01788648,0.03377158,0.0031024283,1.3069043,0.019780636
1700017D01RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,0.002400072,0.0026459992,0.0024016185,0.00015381476,0.0016253057,0.00014930883,0.008811065,0.00013335978
