,n_cells,mt,ERCC,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,imp_sumup,imp_sumup_norm
1700026J12RIK,19,False,False,19,0.0008908895,99.91091105171847,19.0,0.0028173577,0.0026710695
1700026J14RIK,9,False,False,9,0.0004688892,99.95779997186665,10.0,0.0026788837,0.0025397856
1700026L06RIK,8,False,False,8,0.00037511135,99.96248886388146,8.0,0.002542769,0.0024107385
1700027A07RIK,20,False,False,20,0.0009377784,99.90622215970366,20.0,0.0026373528,0.0025004114
1700027A15RIK,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.0022986757,0.0021793195
1700027H10RIK,7,False,False,7,0.00032822244,99.96717775589629,7.0,0.002312988,0.0021928886
1700028E10RIK,48,False,False,48,0.0022975572,99.7749331832888,49.0,0.0035162303,0.003333654
1700028J19RIK,27,False,False,27,0.0013128897,99.87339991559995,28.0,0.003132013,0.0029693865
1700028K03RIK,6,False,False,6,0.00028133352,99.9718666479111,6.0,0.002366619,0.002243735
1700028P14RIK,45,False,False,45,0.0021568902,99.78899985933325,46.0,0.003425391,0.0032475311
1700029I15RIK,46,False,False,46,0.0021568902,99.78431096731842,46.0,0.004100996,0.0038880566
1700029J07RIK,57,False,False,57,0.0028133353,99.73273315515544,60.0,0.004167937,0.0039515216
1700030C10RIK,37,False,False,37,0.0020162235,99.82651099545178,43.0,0.0033034128,0.003131887
1700030C12RIK,5,False,False,5,0.0002344446,99.97655553992591,5.0,0.0023274624,0.0022066114
1700030C14RIK,4,False,False,4,0.00018755568,99.98124443194072,4.0,0.0022265762,0.0021109637
1700030F04RIK,18,False,False,18,0.00084400055,99.9155999437333,18.0,0.0029273701,0.0027753697
1700030J22RIK,79,False,False,79,0.0039386693,99.62957753082947,84.0,0.0039692917,0.0037631905
1700030K09RIK,139,False,False,139,0.0068926713,99.34824400994046,147.0,0.0057304013,0.0054328563
1700030M09RIK,4,False,False,4,0.00018755568,99.98124443194072,4.0,0.0022815047,0.0021630402
1700030N03RIK,6,False,False,6,0.00028133352,99.9718666479111,6.0,0.002520492,0.0023896182
1700034H15RIK,41,False,False,41,0.0020162235,99.80775542739251,43.0,0.0029237133,0.0027719026
1700034P13RIK,17,False,False,17,0.00079711166,99.92028883574811,17.0,0.0024997862,0.0023699875
1700036A12RIK,8,False,False,8,0.00037511135,99.96248886388146,8.0,0.0024231959,0.002297374
1700037C18RIK,156,False,False,156,0.0077366717,99.26853284568857,165.0,0.006019318,0.0057067713
1700037H04RIK,706,False,False,706,0.036198247,96.68964223753926,772.0,0.06969626,0.06607736
1700040D17RIK,19,False,False,19,0.0008908895,99.91091105171847,19.0,0.0033410776,0.003167596
1700040L02RIK,54,False,False,54,0.002954002,99.74679983119988,63.0,0.0032371103,0.0030690269
1700041G16RIK,8,False,False,8,0.00037511135,99.96248886388146,8.0,0.002626376,0.0024900043
1700042G15RIK,11,False,False,11,0.00051577814,99.94842218783701,11.0,0.0026028494,0.0024676993
1700047A11RIK,3,False,False,3,0.00018755568,99.98593332395555,4.0,0.0023161215,0.0021958596
1700047F07RIK,26,False,False,26,0.0014066676,99.87808880761476,30.0,0.0029106047,0.0027594748
1700047K16RIK,7,False,False,7,0.00037511135,99.96717775589629,8.0,0.002336089,0.00221479
1700047M11RIK,274,False,False,274,0.014019787,98.71524358794017,299.0,0.022572566,0.021400511
1700048M11RIK,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.0023355265,0.0022142567
1700048O20RIK,76,False,False,76,0.0037042247,99.64364420687392,79.0,0.0042572278,0.0040361756
1700049G17RIK,99,False,False,99,0.0050171143,99.53579969053312,107.0,0.0042413096,0.004021084
1700052K11RIK,152,False,False,152,0.007596005,99.28728841374783,162.0,0.004869732,0.0046168766
1700055D18RIK,4,False,False,4,0.00018755568,99.98124443194072,4.0,0.002186447,0.002072918
1700056E22RIK,6,False,False,6,0.00028133352,99.9718666479111,6.0,0.0024060898,0.0022811561
1700056N10RIK,25,False,False,25,0.001172223,99.88277769962957,25.0,0.00345423,0.003274873
1700057H15RIK,4,False,False,4,0.00018755568,99.98124443194072,4.0,0.0024140223,0.0022886768
1700060C16RIK,4,False,False,4,0.00018755568,99.98124443194072,4.0,0.0023371957,0.0022158392
1700060O08RIK,9,False,False,9,0.00042200027,99.95779997186665,9.0,0.002442001,0.0023152027
1700061G19RIK,9,False,False,9,0.0004688892,99.95779997186665,10.0,0.0027811485,0.0026367404
1700063D05RIK,24,False,False,24,0.0011253341,99.8874665916444,24.0,0.0029583091,0.0028047021
1700064H15RIK,5,False,False,5,0.00028133352,99.97655553992591,6.0,0.0024746642,0.00234617
1700065D16RIK,4,False,False,4,0.00018755568,99.98124443194072,4.0,0.0024056798,0.0022807675
1700066B17RIK,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.0023982276,0.0022737023
1700066B19RIK,6,False,False,6,0.00028133352,99.9718666479111,6.0,0.002406286,0.0022813424
1700066M21RIK,362,False,False,362,0.01823979,98.30262109063628,389.0,0.01037108,0.009832573
1700066N21RIK,4,False,False,4,0.00018755568,99.98124443194072,4.0,0.002283164,0.0021646132
1700080G11RIK,4,False,False,4,0.00018755568,99.98124443194072,4.0,0.0022485075,0.0021317562
1700080N15RIK,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.002493606,0.0023641281
1700084C01RIK,170,False,False,170,0.008111783,99.20288835748113,173.0,0.05524274,0.05237432
1700084C06RIK,41,False,False,41,0.0019224457,99.80775542739251,41.0,0.0043311184,0.0041062296
1700084E18RIK,9,False,False,9,0.00042200027,99.95779997186665,9.0,0.0027983233,0.0026530232
1700084F23RIK,10,False,False,10,0.0004688892,99.95311107985184,10.0,0.0041127666,0.0038992157
1700086L19RIK,191,False,False,191,0.009424673,99.10442162516998,201.0,0.0065329275,0.0061937124
1700086O06RIK,147,False,False,147,0.006986449,99.31073287382192,149.0,0.007454548,0.0070674787
1700086P04RIK,15,False,False,15,0.0007033338,99.92966661977775,15.0,0.0026439305,0.0025066473
1700088E04RIK,128,False,False,128,0.0065175598,99.39982182210343,139.0,0.005128464,0.004862174
1700092K14RIK,5,False,False,5,0.0002344446,99.97655553992591,5.0,0.00231981,0.0021993564
1700093J21RIK,81,False,False,81,0.003985558,99.62019974679983,85.0,0.0041837115,0.003966477
1700093K21RIK,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.0022537182,0.0021366961
1700095J03RIK,8,False,False,8,0.0004688892,99.96248886388146,10.0,0.0024288655,0.002302749
1700096J18RIK,4,False,False,4,0.0002344446,99.98124443194072,5.0,0.0025793868,0.0024454547
1700096K18RIK,105,False,False,105,0.0051108925,99.50766633844422,109.0,0.0053290995,0.005052392
1700101E01RIK,73,False,False,73,0.003516669,99.65771088291837,75.0,0.0038117233,0.0036138038
1700101I11RIK,41,False,False,41,0.0020162235,99.80775542739251,43.0,0.0032963692,0.0031252087
1700102P08RIK,29,False,False,29,0.0014066676,99.86402213157031,30.0,0.0028945855,0.0027442873
1700109H08RIK,75,False,False,75,0.0037042247,99.64833309888873,79.0,0.0036365679,0.003447743
1700110C19RIK,6,False,False,6,0.00028133352,99.9718666479111,6.0,0.002413639,0.0022883136
1700110K17RIK,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.0023111422,0.0021911385
1700111E14RIK,10,False,False,10,0.0004688892,99.95311107985184,10.0,0.0025604272,0.0024274797
1700111N16RIK,7,False,False,7,0.00032822244,99.96717775589629,7.0,0.0024145297,0.0022891576
1700112D23RIK,85,False,False,85,0.0043137805,99.60144417874056,92.0,0.0048216935,0.004571332
1700112E06RIK,216,False,False,216,0.014723121,98.98719932479955,314.0,0.04681021,0.04437964
1700112J16RIK,41,False,False,41,0.0020162235,99.80775542739251,43.0,0.004329089,0.004104306
1700113A16RIK,35,False,False,35,0.0016880011,99.83588877948141,36.0,0.003723618,0.0035302732
1700113H08RIK,10,False,False,10,0.00051577814,99.95311107985184,11.0,0.0022972904,0.002178006
